adrid,adr_info
BADD_A01978,13.14.04.003
BADD_A01986,06.02.07.004;17.17.01.012
BADD_A01987,17.01.04.001
BADD_A01988,17.01.04.002
BADD_A01989,01.01.04.001;10.02.02.004;23.06.01.002;24.07.06.003
BADD_A01995,09.01.04.001
BADD_A01997,09.01.08.008;16.06.02.001
BADD_A01999,09.01.03.006;17.13.01.003
BADD_A02001,09.01.03.002
BADD_A02003,09.01.04.002;24.08.06.002
BADD_A02005,09.01.02.001
BADD_A02009,09.01.07.002
BADD_A02010,09.04.03.001;16.07.03.001
BADD_A02013,09.01.05.005
BADD_A02014,09.01.07.003;14.08.04.005
BADD_A02019,09.01.07.004
BADD_A02021,09.01.07.005
BADD_A02027,09.01.01.002
BADD_A02030,09.01.07.007;11.07.01.003
BADD_A02032,09.01.07.017;12.03.01.016
BADD_A02048,09.01.07.008
BADD_A02049,09.01.05.001
BADD_A02051,09.01.03.007;20.01.03.012
BADD_A02052,01.09.03.001;09.01.05.002
BADD_A02053,09.01.07.009;12.03.01.008
BADD_A02055,08.01.04.001
BADD_A02059,11.05.02.001;23.11.05.004
BADD_A02063,11.05.02.008
BADD_A02064,11.05.02.003;17.09.03.026;23.11.05.005
BADD_A02066,07.16.01.001;22.09.02.004
BADD_A02067,07.01.06.009;22.12.01.001
BADD_A02068,23.02.03.013
BADD_A02072,13.12.01.003
BADD_A02076,05.05.01.005;23.02.04.001
BADD_A02083,01.16.01.001;16.31.01.001
BADD_A02094,19.05.01.003
BADD_A02097,08.01.09.003;14.03.02.012
BADD_A02099,17.07.01.001
BADD_A02101,20.01.05.001
BADD_A02104,04.02.02.001;17.04.03.003
BADD_A02106,24.03.02.002
BADD_A02107,17.02.06.004;23.03.03.080
BADD_A02108,09.01.02.002;14.10.01.001
BADD_A02109,01.06.04.003;09.01.01.003;14.11.01.010
BADD_A02110,05.04.01.002;14.04.01.003
BADD_A02113,14.01.04.001;22.02.02.002
BADD_A02115,07.11.03.001
BADD_A02116,14.08.01.001
BADD_A02121,05.06.02.002;14.06.02.002
BADD_A02123,08.01.03.028;23.02.03.004
BADD_A02124,14.05.03.001
BADD_A02126,23.01.01.001
BADD_A02127,17.01.02.008
BADD_A02128,14.01.01.006
BADD_A02131,14.05.04.001
BADD_A02134,05.04.01.001;14.04.01.020
BADD_A02137,07.01.06.018;14.03.01.007;19.09.01.005
BADD_A02138,14.04.03.007
BADD_A02140,08.03.04.008
BADD_A02141,05.03.01.002
BADD_A02143,08.05.02.002
BADD_A02144,17.02.01.002
BADD_A02145,10.01.03.003
BADD_A02146,01.01.04.008;10.02.02.017;23.06.02.005;24.12.04.013
BADD_A02147,17.15.01.001;19.02.05.001
BADD_A02149,24.08.02.001
BADD_A02152,24.08.01.001
BADD_A02154,02.11.02.001;24.08.05.002
BADD_A02155,08.05.01.001;12.05.01.002
BADD_A02157,05.02.02.001;14.11.01.011
BADD_A02158,15.05.04.007;17.05.02.001
BADD_A02159,17.10.01.003;20.03.03.003
BADD_A02161,23.02.04.002
BADD_A02162,14.08.02.001
BADD_A02167,14.09.01.003
BADD_A02168,19.01.02.004;22.02.01.006
BADD_A02172,02.05.04.019;14.05.06.003
BADD_A02176,17.02.06.023;23.03.03.081
BADD_A02178,09.01.02.003;14.10.01.002
BADD_A02180,14.04.01.004
BADD_A02182,14.05.08.003
BADD_A02184,01.03.02.004
BADD_A02186,10.03.02.007
BADD_A02187,07.14.03.002;17.02.07.004
BADD_A02189,05.06.03.001;14.06.03.001
BADD_A02190,05.06.03.006;14.06.03.006;18.04.06.003
BADD_A02191,05.06.03.004;14.06.03.004;17.02.09.005
BADD_A02194,08.01.03.029;23.02.03.005
BADD_A02195,14.05.03.002
BADD_A02197,17.01.02.009
BADD_A02199,14.04.02.001
BADD_A02200,19.16.02.001
BADD_A02202,14.05.04.002
BADD_A02205,14.04.03.001
BADD_A02207,05.03.02.001
BADD_A02209,22.02.01.021
BADD_A02210,09.01.02.004;14.10.01.003
BADD_A02213,17.02.01.003
BADD_A02216,24.06.03.002
BADD_A02221,08.05.01.003;12.05.03.001
BADD_A02222,05.02.03.001;14.11.01.012
BADD_A02223,15.05.04.008;17.05.02.002
BADD_A02224,15.05.04.012;17.05.02.010;18.04.01.006
BADD_A02229,22.02.01.007
BADD_A02230,14.12.01.001
BADD_A02231,14.05.05.002
BADD_A02232,24.06.02.017
BADD_A02233,22.02.02.003
